TSNE1,TSNE2,TSNE3
28.777048,-17.803766,15.093813
4.7884684,13.68121,15.699841
11.124571,0.6285975,9.310292
8.768155,3.7625382,24.627064
7.0308676,-0.5301553,22.137535
2.9058034,-6.65637,23.434717
13.099338,-15.064592,15.059434
12.184637,7.339743,22.562572
18.143509,-3.3061738,2.744384
-18.289518,-6.4232793,15.575892
12.516325,-17.470814,9.557321
4.2030745,9.985319,19.670692
6.45775,2.1815333,10.975305
8.368708,-9.555775,12.202323
25.753613,-13.1262665,17.650442
25.008312,-0.18366863,13.506216
8.342524,-5.745558,22.895853
17.72139,1.3413616,8.251764
11.548539,-3.9080567,7.150229
18.287247,-16.518164,10.501433
1.389611,-18.228493,7.783937
17.979174,-4.477069,15.733034
18.133648,-2.9564478,11.571935
12.242004,2.0552616,13.9901705
17.79903,-4.968532,18.412497
17.821266,-5.755383,16.55935
12.8511505,7.0060654,7.765767
4.7958384,1.0183944,42.105625
12.513686,11.34909,33.34181
12.5969305,10.971355,32.475163
6.171957,24.944605,19.26752
6.2966013,24.813492,19.968489
3.659236,1.5194435,40.597305
-14.095303,6.2270403,29.36898
11.191516,9.726239,32.70842
9.389335,7.0587716,30.963163
8.298748,6.834406,30.512302
-5.789078,13.760466,20.082388
-7.5834913,21.225092,10.935898
-10.453374,-18.765795,20.851152
-10.417982,17.068985,11.206112
-4.228044,10.2627735,32.320797
-4.812017,3.6185482,19.51968
-4.439721,5.1322484,18.24652
-7.3400183,2.824842,33.18221
-5.2318273,6.6454644,13.010356
-5.496557,7.285102,13.309124
-6.6586585,-4.903808,24.890293
-1.1368645,1.0327932,19.982224
-1.6884493,-6.8429766,20.856686
1.6371225,-0.91520214,18.27527
-22.534061,13.043599,12.625868
-5.9348316,-16.17318,21.64708
-10.543057,18.193628,7.347257
1.44183,15.505533,7.187792
-9.123198,14.048243,4.290403
-11.434397,15.671846,5.0414586
-11.787963,7.7606544,2.8047795
-5.9336596,17.38578,3.2433462
-6.893218,17.00383,5.335736
-4.9418793,17.416246,4.4921846
-4.5160766,-18.732052,5.198129
-6.5574255,20.447605,3.705586
-6.098676,18.192314,3.953012
-1.3163928,6.3382792,34.70841
-3.1186748,22.951973,6.035255
-26.587862,-13.286901,10.74505
-26.384262,-13.173534,10.762499
-25.09225,16.787687,8.938082
-9.663152,15.1112175,-22.505535
-27.472105,-13.8306055,10.4947195
-34.9747,-10.982005,-1.5298787
-32.491673,-9.8605175,-1.1528322
-7.88381,4.4285846,27.848593
-6.9604497,-10.132092,21.129477
10.891918,-12.760533,21.119154
12.308895,-12.275531,16.784698
-11.86938,-16.0309,15.216171
17.39697,-9.921966,-9.3234415
-6.02763,-18.619576,-22.1016
3.9786851,1.7265538,-13.078272
30.388712,-10.627599,-28.440254
2.2301333,9.260093,-25.335567
10.529801,14.248847,-30.794523
10.66567,-12.957444,-9.5425005
-5.937,-18.654625,-22.139898
18.787333,-11.252114,-8.34348
17.686108,-11.276833,-8.892574
4.868292,8.871789,-4.2411194
29.914827,-10.640638,-28.004963
3.6376333,11.138629,-24.93753
12.226222,15.171168,-27.873274
11.351051,-14.311824,-9.60396
14.237557,0.7612566,-21.995226
8.262458,10.27698,-1.0863452
29.34759,-11.393479,-28.67284
1.5675076,8.115129,-27.014076
10.5277195,12.839237,-29.435915
2.2034,9.536893,-24.332796
9.392388,-3.9739583,-7.9705424
11.017945,-14.464274,-11.3840885
17.331799,-12.535123,-9.686811
11.486452,11.6340475,-2.5831304
2.7417743,10.981251,-23.969646
10.581321,-4.7409983,-7.758589
